station_code,station_name,latitude,longitude
AAY,ARALVAYMOZHI,8.249451361,77.52926469
AB,AMBUR,12.782934,78.721266
ABI,AMBATURAI,10.272226,77.924468
ABKA,AMBIKA KALNA,23.211377,88.353984
ABR,ABU ROAD,24.470775,72.775695
AD,ADONI,15.617035,77.27485
ADI,AHMEDABAD JN,23.025515,72.601516
AFK,ANGAMALI,10.183676,76.37786
AGC,AGRA CANTT,27.157992,77.990153
AGI,AMGURI,26.812601,94.524011
AHA,ABHAIPUR,25.21598646,86.32307245909999
AII,AJMER JN,26.456612,74.63746400000001
AJJ,ARAKKONAM,13.081512,79.667991
AK,AKOLA JN,20.723084,77.005497
AKE,AKANAPET,18.110863,78.39630899999999
AKP,ANAKAPALLE,17.695503,83.00885099999999
ALLP,ALLEPPEY,9.483759,76.32247600000001
ALU,ARIYALUR,11.150035,79.06831799999999
AMPA,AMBALAPUZHA,9.386059,76.363817
ANG,AHMADNAGAR,19.075519477700002,74.72188247
ANKL,ANKOLA,14.645347,74.332936
ANND,ANAND JN,22.561307,72.965733
ANV,ANNAVARAM,17.269633,82.41967700000001
ANVT,ANAND VIHAR TRM,28.650503565399998,77.31521255
ARA,ARA,25.548889,84.66259600000001
ASN,ASANSOL JN,23.691441,86.975152
ASR,AMRITSAR JN,31.631511999999997,74.858025
ATP,ANANTAPUR,14.686478,77.59531199999999
AUB,ALUABARI ROAD,26.269681,88.18561000000001
AWY,ALUVA,10.108163,76.356508
AZ,AZIMGANJ JN,24.219053,88.256764
BAB,BABINA,25.237832,78.451748
BALU,BALUGAON,19.747366,85.200953
BAM,BRAHMAPUR,19.2961348,84.7966912
BAQ,GANJ BASODA,23.845347,77.944826
BARH,BARH,25.46165,85.70942600000001
BAU,BURHANPUR,21.3343976,76.1986787
BBS,BHUBANESWAR,20.265388,85.84259499999999
BDC,BANDEL JN,22.9236565,88.3793623
BDTS,MUMBAI BANDRA TERMINUS,19.061911,72.840535
BEAS,BEAS,31.5193738,75.2908085
BGP,BHAGALPUR,25.241909300000003,86.9767918
BGVN,BHIGWAN,18.317256,74.77504200000001
BGZ,BAHADURGARH,28.700863000000002,76.930886
BH,BHARUCH JN,21.706907,72.997689
BHC,BHADRAKH,21.091745799999998,86.5162305
BHP,BOLPUR SHANTINIKETAN,23.657804000000002,87.698136
BHS,VIDISHA,23.5222886,77.8148356
BINA,BINA JN,24.170973500000002,78.1831998
BJF,BIJNI,26.497967,90.70782700000001
BJU,BARAUNI JN,25.461768000000003,85.988748
BKN,BIKANER JN,28.014139,73.31659800000001
BKP,BAKHTIYARPUR JN,25.456110000000002,85.52956400000001
BKSC,BOKARO STEEL CITY,23.656551,86.08501600000001
BL,VALSAD,20.6085595,72.9335291
BLS,BALASORE,21.500521,86.91958199999999
BLZ,BUDHLADA,29.9217422,75.5496866
BMO,BOLARUM,17.5335493,78.5154167
BMT,BEGAMPET,17.4388739,78.4586266
BNC,BANGALORE CANT,12.9936735,77.59932690000001
BNGN,BONGAIGAON,26.478293,90.560548
BOE,BARSOI JN,25.651242200000002,87.9229421
BOJ,BHOJO,27.0635982,95.03240600000001
BPF,BANAPURA,22.47035755,77.48073161
BPL,BHOPAL JN,23.266884384300003,77.41314286
BPP,BAPATLA,15.9086144,80.46842480000001
BPQ,BALHARSHAH,19.8490173,79.3485858
BPRD,BARPETA ROAD,26.5028473,90.9639649
BQI,BOMMIDI,11.98469844,78.24628054
BRC,VADODARA JN,22.310756,73.181065
BRYA,BARHIYA,25.2832026,86.01507679999999
BRZ,BARETA,29.859333900000003,75.69240260000001
BSL,BHUSAVAL JN,21.0472812,75.78867170000001
BSP,BILASPUR JN,22.057473,82.167585
BSX,BASAR,18.86512,77.938506
BTE,BHARATPUR JN,27.237106999999998,77.488613
BTI,BHATINDA JN,30.209488,74.932083
BUP,BARIARPUR,25.28102861,86.57403722
BVI,BORIVALI,19.228739,72.85641199999999
BVQ,BHILAVDI,17.008048,74.51678100000001
BWM,BHAWANI MANDI,24.419472000000003,75.82981
BWN,BARDDHAMAN JN,23.249718,87.87028099999999
BWT,BANGARAPET,12.984808,78.178188
BXN,BAYANA JN,26.916354000000002,77.29713100000001
BXP,BARPATHAR,26.274562,93.899672
BXR,BUXAR,25.562067,83.982184
BYNR,MOOKAMBIKA ROAD,13.87259,74.63279
BZA,VIJAYAWADA JN,16.518262,80.61864800000001
BZU,BETUL,21.896393,77.90589700000001
CAN,KANNUR,11.870694199999999,75.3683267
CAP,CHATRAPUR,19.3589572,84.97327299999999
CBE,COIMBATORE JN,10.997639,76.966298
CBF,COIMBATORE NORTH,11.019937,76.954304
CCH,CHINCHVAD,18.638903,73.79139199999999
CD,CHANDRAPUR,19.960126000000002,79.300505
CDG,CHANDIGARH,30.7019773,76.82208
CGL,CHENGALPATTU,12.692863999999998,79.981519
CGY,CHANGANASERI,9.449881,76.54841400000001
CHB,CHABUA,27.481420709000002,95.17205813
CHE,SRIKAKULAM ROAD,18.408679,83.903771
CKI,CHALAKUDI,10.3017975,76.3218076
CLT,KOZHIKODE,11.246234,75.780407
CLX,CHIRALA,15.830755,80.353602
CNB,KANPUR CENTRAL,26.454240000000002,80.350966
CNGR,CHENGANNUR,9.319504,76.608271
CPK,CHAPARMUKH JN,26.202272,92.511718
CPP,CHIPURUPALLE,18.316259000000002,83.569608
CRP,CHANDRAPURA,23.755676,86.119775
CRY,CHIRAYINKIL,8.658337900000001,76.7853703
CSN,CHALISGAON JN,20.464109,74.999049
CTC,CUTTACK,20.466587999999998,85.90156
CTO,CHITTOOR,13.219857,79.103252
CUR,Churu,28.288281,74.966203
CVP,KOVILPATTI,9.182578,77.872848
DAA,DATIA,25.641070000000003,78.456356
DAB,DHARMABAD,18.888260310099998,77.8493415
DBA,DABRA,25.881197,78.331015
DBRG,DIBRUGARH,27.463606565899997,94.93525791020001
DD,DAUND JN,18.463547,74.578622
DEC,DELHI CANTT,28.613534,77.116577
DG,DINDIGUL JN,10.35381,77.985472
DGLE,DHULIAN GANGA,24.672086,87.937644
DGR,DURGAPUR,23.495046000000002,87.297902
DHD,DAHOD,22.843607000000002,74.25337400000001
DHN,DHANBAD JN,23.790966,86.428956
DHO,DHAULPUR,26.697592,77.90604900000001
DJG,DULIAJAN,27.367712,95.30695200000001
DKAE,DANKUNI,22.677422,88.291491
DKZ,DELHI KISHANGANJ,28.664731999999997,77.201256
DLGN,DHALGAON,17.120967200000003,74.9887134
DLN,DILDARNAGAR JN,25.419424,83.668324
DMM,DHARMAVARAM JN,14.424368999999999,77.717115
DMV,DIMAPUR,25.905701999999998,93.72781599999999
DNR,DANAPUR,25.581921,85.044629
DPJ,Dharmapuri,12.126595,78.154742
DPU,DIPHU,25.83725,93.438384
DQG,DHUPGURI,26.573532,88.994973
DR,MUMBAI DADAR CENTRAL,19.017179,72.842972
DRD,DAHANU ROAD,19.991217,72.74336799999999
DRH,DHARHARA,25.25789341,86.41153807
DUD,DUDHANI,17.362420999999998,76.37871
ED,ERODE JN,11.327682,77.72593400000001
EE,ELURU,16.717816,81.11976200000001
ERL,ERANIEL,8.212549,77.308161
ERN,ERNAKULAM TOWN,9.991582000000001,76.2861
ERS,ERNAKULAM JN,9.969541999999999,76.290672
ET,ITARSI JN,22.608258,77.767128
FA,FALNA,25.235808,73.23495299999999
FDB,FARIDABAD,28.411473,77.30734799999999
FDK,FARIDKOT,30.682857,74.76137999999999
FKG,FURKATING JN,26.465652000000002,94.00269200000001
FKM,FAKIRAGRAM JN,26.365237,90.186189
FLK,FALAKATA,26.53839646,89.19227488279999
FUT,FATWA,25.50144,85.305488
FZR,FIROZPUR CANT,30.942486,74.61843900000001
GAYA,GAYA JN,24.803978,84.999294
GBD,GAURIBIDANUR,13.613081000000001,77.512781
GDA,GODHRA JN,22.776974,73.603672
GDR,GUDUR JN,14.148227,79.845121
GDYA,GHORADONGRI,22.126423,78.001987
GGC,GANGAPUR CITY,26.468979,76.72770799999999
GGN,GURGAON,28.489165,77.010739
GHY,GUWAHATI,26.182635,91.751851
GJUT,GANGSAR JAITU,30.445082000000003,74.87951100000001
GNA,GONEANA,30.318715,74.90948
GOGH,GOSSAIGAON HAT,26.42910716,89.9715892
GTL,GUNTAKAL JN,15.17556,77.36661099999999
GUR,GANAGAPUR ROAD,17.340443,76.5903
GUV,GURUVAYUR,10.596896,76.045457
GWL,GWALIOR JN,26.216483,78.18229199999999
GY,GOOTY JN,15.149208,77.625823
GYM,GUDIYATTAM,12.937470999999999,78.916157
GZB,GHAZIABAD,28.649702,77.431099
HAD,HARIPPAD,9.279602,76.46222900000001
HAN,HINDAUN CITY,26.756164000000002,77.03168600000001
HCR,HARISCHANDRPUR,25.403999000000002,87.867051
HD,HARDA,22.338414,77.10084
HJI,HOJAI,26.001794,92.851752
HSRA,Hosur,12.717606,77.822839
HTZ,HATHIDAH JN,25.367027,85.987826
HUP,HINDUPUR,13.819144000000001,77.500362
HWH,HOWRAH JN,22.584077999999998,88.34099900000001
HX,CUDDAPAH,14.451690000000001,78.829184
IGP,IGATPURI,19.694053,73.56237899999999
IJK,IRINJALAKUDA,10.339456,76.280924
IPM,ICHCHPURAM,19.110752,84.680427
J,JALNA,19.830781,75.893142
JAJ,JHAJHA,24.779456,86.399854
JBP,JABALPUR,23.164636,79.950919
JEUR,JEUR,18.260933,75.16247100000001
JHL,JAKHAL JN,29.80181311,75.82450098
JIND,JIND JN,29.328875999999998,76.28961699999999
JJKR,JAJPUR KEONJHAR ROAD,20.943544,86.132518
JL,JALGAON JN,21.018114999999998,75.56287499999999
JMP,JAMALPUR JN,25.313906,86.492285
JP,JAIPUR,26.920203,75.786923
JPE,JALPAIGURI ROAD,26.559016999999997,88.70945300000001
JRC,JALANDHAR CANT,31.306235,75.63210600000001
JRLE,JANGIPUR ROAD,24.459515,88.04076
JSME,JASIDIH JN,24.514517,86.644255
JTJ,JOLARPETTAI,12.560851999999999,78.57781999999999
JTRD,JATH ROAD,17.2166,75.110555
JUC,JALANDHAR CITY,31.331665,75.591499
KAMG,KAMAKHYAGURI,26.484168,89.721829
KAWR,KARWAR,14.821387,74.183139
KDG,KEDGAON,18.482085398400002,74.3763731
KDU,KADAMBUR,9.002019,77.86363300000001
KEM,KEM,18.177508793500003,75.27462627
KGLE,KHAGRAGHAT ROAD,24.106842,88.22648099999999
KGP,KHARAGPUR JN,22.341431999999998,87.32845599999999
KGQ,KASARAGOD,12.491175,74.987652
KIR,KATIHAR JN,25.548947,87.566409
KIUL,KIUL JN,25.171504,86.106198
KJH,KAJRA,25.182766,86.261571
KJM,KRISHNARAJAPURAM,13.000534,77.674016
KJT,KARJAT,18.911157999999997,73.320691
KKDE,KURUKSHETRA JN,29.969440000000002,76.852795
KKN,KHIRKIYA,22.166444000000002,76.85944699999999
KKP,KOT KAPURA,30.578495999999998,74.818173
KLGD,KOLLENGODE,10.626984,76.697715
KMC,KAMAREDDI,18.32586,78.335858
KMT,KHAMMAM,17.249347,80.138491
KNE,KISHANGANJ,26.097746,87.949657
KNW,KHANDWA,21.823596,76.353227
KOJ,KOKRAJHAR,26.405057,90.274125
KON,KUDALNAGAR,9.944876,78.108666
KOO,KHUSROPUR,25.484893,85.387309
KOTA,KOTA JN,25.223553,75.8805
KOU,KODURU,13.948578,79.345687
KOV,KIRLOSKARVADI,17.084152,74.41635799999999
KPD,KATPADI JN,12.972734,79.13534100000001
KPN,KUPPAM,12.746834,78.339549
KQN,KODAIKANAL ROAD,10.179613000000002,77.909593
KQR,KODERMA,24.434741000000002,85.52945799999999
KRD,KARAD,17.310011,74.215686
KRG,KOREGAON,17.690976,74.147622
KRR,KARUR,10.965642,78.085087
KRY,Kadiri,14.114788,78.165591
KSN,KRISHNA,16.409324,77.328563
KSRA,KASARA,19.647159,73.472003
KSV,KOSI KALAN,27.788551,77.445999
KTE,KATNI,23.833385,80.400543
KTYM,KOTTAYAM,9.594177,76.532168
KUH,KHACHROD,23.442673,75.286337
KUN,KARNAL,29.694566000000002,76.969821
KUR,KHURDA ROAD JN,20.153076,85.70823399999999
KVK,KAVATHE MAHANKL,17.007517,74.94491099999999
KVU,KADAKAVUR,8.679078,76.766672
KWAE,KATWA,23.640315,88.124085
KWM,KAMPUR,26.16060113,92.65778727
KWV,KURDUVADI,18.091348,75.41711799999999
KYJ,KAYANKULAM JN,9.182586,76.512933
KYN,KALYAN JN,19.234716000000002,73.12974
KYQ,KAMAKHYA,26.156154,91.689505
KZT,KULITTHURAI,8.302348,77.218817
LAR,LALITPUR,24.688222,78.395791
LDH,LUDHIANA JN,30.912367,75.84787299999999
